Lcl Time,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,AltInd,AltMSL,OAT,TAS,E1 OilT,E1 OilP,E1 FFlow,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4
         ,0,       ,-32.09,1.25,1.43,-0.04,0.03,5090,        ,30.2,0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
         ,0,       ,-47.18,1.23,1.47,-0.04,-0.02,5090,        ,30.2,0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
 08:35:19,0,0,-31.16,1.22,1.47,-0.05,0,5090,5008.1,30.2,0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
 08:35:20,0,0,5.43,1.22,1.51,-0.02,0,5092,5011,30,0,73.57,66.49,4.07,1317.3,79.3,72.89,76.08,74.4,946.02,892.27,900.36,899.06
 08:35:21,0,0,14.22,1.26,1.47,-0.02,0.05,5091,5011.5,30,0,73.58,66.61,4.11,1324.6,79.74,73.09,76.34,74.78,955.61,902.09,911.2,908.89
 08:35:22,0,0,0.97,1.22,1.49,-0.04,-0.02,5091,5009.8,30,0,73.58,66.52,4.06,1331.3,80.14,73.32,76.63,75.16,962.61,910.96,918.94,917.47
 08:35:23,0,0,-13.02,1.24,1.52,-0.04,-0.01,5091,5011.6,30,0,73.59,66.77,3.99,1335.6,80.65,73.59,76.94,75.63,967.8,920.79,925.68,927.13
 08:35:24,0,0,-29.72,1.21,1.52,-0.04,-0.05,5090,5011,29.8,0,73.6,66.78,4,1342,81.12,73.8,77.28,76.08,972.79,927.99,932.19,934.69
 08:35:25,0,0,-32.96,1.24,1.53,-0.02,-0.02,5090,5010.6,29.8,0,73.61,66.94,3.96,1341.6,81.62,74.08,77.62,76.54,977.04,934.06,939.76,942.62
 08:35:26,0,0,-40.22,1.26,1.53,-0.02,0,5089,5005,29.8,0,73.63,66.97,3.97,1347.5,82.12,74.38,77.98,77.04,980.86,939.95,943.78,950.15
