Lcl Time,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,AltInd,AltMSL,OAT,TAS,E1 OilT,E1 OilP,E1 FFlow,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4
         ,0.0,       ,-27.51,0.92,1.18,-0.01,0.01,5077.9,        ,29.2,0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
         ,0.0,       ,-64.3,0.94,1.15,-0.03,0.0,5076.9,        ,29.2,0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
 16:39:52,0.0,   0.00,-7.07,0.98,1.23,-0.01,0.0,5077.9,  5019.9,29.2,0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
 16:39:53,0.0,   0.00,-28.87,1.0,1.09,-0.01,0.03,5077.9,  5019.7,29.2,0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
 16:39:54,0.0,   0.00,-9.49,0.99,1.11,-0.02,0.02,5077.9,  5019.0,29.2,0,  119.97,   61.10,     2.69, 1244.9,  155.59,  159.63,  170.77,  164.93, 1103.94, 1103.64, 1135.39, 1115.65
 16:39:55,0.0,   0.00,-28.0,0.93,1.22,-0.01,-0.02,5075.9,  5019.0,29.2,0,  119.95,   60.83,     2.70, 1229.7,  156.50,  160.40,  171.69,  165.76, 1104.28, 1104.69, 1134.85, 1115.74
 16:39:56,0.0,   0.00,-39.6,0.91,1.18,-0.02,-0.0,5076.9,  5020.7,29.2,0,  119.93,   60.90,     2.69, 1227.7,  157.40,  161.18,  172.61,  166.61, 1103.58, 1104.51, 1134.29, 1115.07
 16:39:57,0.0,   0.00,-32.36,0.99,1.2,-0.03,0.04,5075.9,  5020.7,29.2,0,  119.91,   61.13,     2.70, 1240.4,  158.33,  161.96,  173.54,  167.47, 1104.02, 1102.84, 1134.38, 1114.96
 16:39:58,0.0,   0.00,14.18,0.93,1.19,-0.02,-0.03,5077.9,  5020.5,29.2,0,  119.89,   61.09,     2.70, 1235.3,  159.24,  162.76,  174.45,  168.31, 1103.64, 1101.57, 1135.70, 1115.69
 16:39:59,0.0,   0.00,26.32,0.92,1.14,-0.02,0.0,5077.9,  5020.6,29.2,0,  119.87,   61.00,     2.70, 1227.9,  160.14,  163.54,  175.38,  169.16, 1103.86, 1101.36, 1136.39, 1115.54
 16:40:00,0.0,   0.00,6.66,0.89,1.21,-0.01,-0.03,5077.9,  5021.3,29.2,0,  119.85,   61.05,     2.62, 1247.3,  161.06,  164.33,  176.30,  170.02, 1104.70, 1101.81, 1135.41, 1114.88
 16:40:01,0.0,   0.00,5.46,0.96,1.2,-0.03,0.02,5077.9,  5021.5,29.2,0,  119.84,   60.83,     2.68, 1227.7,  161.97,  165.10,  177.21,  170.86, 1106.01, 1102.21, 1135.68, 1115.06
 16:40:02,0.0,   0.00,21.91,0.92,1.18,-0.02,-0.02,5078.9,  5020.0,29.2,0,  119.82,   60.74,     2.59, 1221.4,  162.89,  165.89,  178.14,  171.80, 1106.56, 1101.86, 1136.39, 1115.17
 16:40:03,0.0,   0.00,3.18,0.99,1.21,-0.01,0.02,5078.9,  5020.3,29.2,0,  119.80,   60.54,     2.59, 1202.4,  163.78,  166.66,  179.05,  172.65, 1105.41, 1101.13, 1136.45, 1112.98
 16:40:04,0.0,   0.00,-39.96,0.94,1.16,-0.01,-0.01,5076.9,  5022.3,29.0,0,  119.78,   60.27,     2.62, 1187.5,  164.70,  167.44,  179.95,  173.42, 1105.46, 1099.85, 1134.34, 1110.97
 16:40:05,0.0,   0.00,-34.65,0.96,1.19,-0.02,0.03,5076.9,  5022.4,29.0,0,  119.77,   60.30,     2.58, 1177.2,  165.62,  168.20,  180.85,  174.27, 1104.79, 1100.02, 1131.06, 1109.09
 16:40:06,0.0,   0.00,-40.31,0.87,1.22,-0.03,-0.05,5075.9,  5022.4,29.0,0,  119.75,   60.35,     2.61, 1192.9,  166.52,  168.99,  181.76,  175.12, 1103.64, 1099.53, 1129.09, 1107.89
 16:40:07,0.0,   0.00,-27.51,0.93,1.22,-0.02,0.03,5076.9,  5022.3,29.0,0,  119.74,   60.30,     2.63, 1185.8,  167.43,  169.74,  182.66,  175.98, 1103.11, 1100.72, 1127.97, 1106.05
 16:40:08,0.0,   0.00,-22.61,0.89,1.2,-0.02,-0.0,5075.9,  5023.5,29.0,0,  119.72,   60.32,     2.58, 1187.4,  168.33,  170.51,  183.56,  176.83, 1101.95, 1101.81, 1126.57, 1105.81
 16:40:09,0.0,   0.00,-11.96,0.91,1.26,-0.01,-0.01,5075.9,  5023.6,29.0,0,  119.71,   60.39,     2.57, 1193.8,  169.11,  171.15,  184.32,  177.55, 1100.38, 1102.00, 1124.74, 1105.47
 16:40:10,0.0,   0.00,15.6,0.98,1.26,-0.03,0.03,5076.9,  5023.6,29.0,0,  119.69,   60.36,     2.61, 1193.7,  169.94,  171.84,  185.14,  178.32, 1099.98, 1101.89, 1124.46, 1105.40
 16:40:11,0.0,   0.00,1.77,0.98,1.24,-0.03,0.01,5076.9,  5023.6,29.0,0,  119.68,   60.38,     2.56, 1196.6,  170.82,  172.57,  186.01,  179.23, 1101.03, 1101.97, 1124.98, 1105.55
 16:40:12,0.0,   0.00,-16.28,0.94,1.23,-0.02,0.02,5075.9,  5023.3,29.0,0,  119.67,   60.39,     2.61, 1200.4,  171.73,  173.32,  186.89,  180.08, 1100.67, 1102.88, 1124.59, 1106.23
 16:40:13,0.0,   0.00,-27.67,0.89,1.26,-0.02,-0.04,5075.9,  5023.2,29.0,0,  119.65,   60.43,     2.53, 1199.8,  172.62,  174.06,  187.76,  180.91, 1100.51, 1103.22, 1124.91, 1105.77
 16:40:14,0.0,   0.00,-24.03,0.97,1.23,-0.02,0.03,5075.9,  5021.8,29.0,0,  119.64,   60.32,     2.58, 1196.4,  173.51,  174.81,  188.63,  181.67, 1101.50, 1102.97, 1125.60, 1105.25
 16:40:15,0.0,   0.00,-35.2,0.93,1.24,-0.01,-0.01,5074.9,  5021.5,29.0,0,  119.63,   60.41,     2.63, 1199.3,  174.41,  175.56,  189.50,  182.52, 1102.39, 1101.89, 1126.22, 1104.74
 16:40:16,0.0,   0.00,-9.82,0.94,1.26,-0.03,0.0,5075.9,  5021.3,29.0,0,  119.62,   60.41,     2.61, 1196.0,  175.31,  176.30,  190.37,  183.36, 1104.27, 1101.00, 1125.83, 1104.57
 16:40:17,0.0,   0.00,-19.26,0.91,1.22,-0.01,0.0,5074.9,  5021.2,29.0,0,  119.61,   60.43,     2.61, 1200.1,  176.19,  177.03,  191.25,  184.20, 1104.98, 1101.07, 1125.96, 1104.47
 16:40:18,0.0,   0.00,1.45,0.99,1.24,-0.02,0.03,5075.9,  5021.8,29.0,0,  119.60,   60.39,     2.59, 1199.8,  177.07,  177.77,  192.10,  185.10, 1104.23, 1100.99, 1125.31, 1104.23
 16:40:19,0.0,   0.00,2.66,0.94,1.23,-0.01,-0.01,5075.9,  5021.8,29.0,0,  119.59,   60.47,     2.63, 1196.1,  177.95,  178.49,  192.95,  185.84, 1104.70, 1101.21, 1125.61, 1104.60
 16:40:20,0.0,   0.00,-14.51,0.97,1.22,-0.03,0.02,5075.9,  5023.2,29.0,0,  119.57,   60.45,     2.56, 1200.2,  178.82,  179.22,  193.80,  186.74, 1104.73, 1102.14, 1126.23, 1104.39
